cidade;indicador;ano;valor
malasia;populacao;2014;30696370
malasia;populacao;2015;31232798
malasia;populacao;2016;31789680
malasia;populacao;2017;32355644
malasia;populacao;2018;32910967
malasia;populacao;2019;33440596
malasia;populacao;2020;33889558
malasia;populacao;2021;34282399
malasia;populacao;2022;34695493
malasia;populacao;2023;35126298
malasia;populacao;2024;35557673
malasia;receita;2014;68090
malasia;receita;2015;56920
malasia;receita;2016;51080
malasia;receita;2017;51160
malasia;receita;2018;57280
malasia;receita;2019;59040
malasia;receita;2020;53160
malasia;receita;2021;56120
malasia;receita;2022;67120
malasia;receita;2023;66160
malasia;receita;2024;68090
malasia;despesa;2014;80240
malasia;despesa;2015;68720
malasia;despesa;2016;62650
malasia;despesa;2017;60700
malasia;despesa;2018;70860
malasia;despesa;2019;75900
malasia;despesa;2020;75410
malasia;despesa;2021;80820
malasia;despesa;2022;87900
malasia;despesa;2023;85810
malasia;despesa;2024;86720
malasia;pib;2014;338070
malasia;pib;2015;301360
malasia;pib;2016;301260
malasia;pib;2017;319110
malasia;pib;2018;358790
malasia;pib;2019;365180
malasia;pib;2020;337460
malasia;pib;2021;373780
malasia;pib;2022;407830
malasia;pib;2023;399950
malasia;pib;2024;422230
malasia;pibcapta;2014;11013.35
malasia;pibcapta;2015;9648.83
malasia;pibcapta;2016;9476.66
malasia;pibcapta;2017;9862.58
malasia;pibcapta;2018;10901.84
malasia;pibcapta;2019;10920.26
malasia;pibcapta;2020;9957.64
malasia;pibcapta;2021;10902.97
malasia;pibcapta;2022;11754.55
malasia;pibcapta;2023;11386.06
malasia;pibcapta;2024;11874.51
malasia;receitacapta;2014;2218.17
malasia;receitacapta;2015;1822.44
malasia;receitacapta;2016;1606.81
malasia;receitacapta;2017;1581.17
malasia;receitacapta;2018;1740.45
malasia;receitacapta;2019;1765.51
malasia;receitacapta;2020;1568.62
malasia;receitacapta;2021;1636.99
malasia;receitacapta;2022;1934.54
malasia;receitacapta;2023;1883.48
malasia;receitacapta;2024;1914.91
setelagoas;populacao;2014;229887
setelagoas;populacao;2015;232107
setelagoas;populacao;2016;234221
setelagoas;populacao;2017;236228
setelagoas;populacao;2018;237286
setelagoas;populacao;2019;239639
setelagoas;populacao;2020;241835
setelagoas;populacao;2021;243950
setelagoas;populacao;2022;227397
setelagoas;populacao;2023;232664
setelagoas;populacao;2024;237931
setelagoas;receita;2014;585.34
setelagoas;receita;2015;627.79
setelagoas;receita;2016;644.1
setelagoas;receita;2017;654
setelagoas;receita;2018;667.49
setelagoas;receita;2019;745.56
setelagoas;receita;2020;846.21
setelagoas;receita;2021;1028.96
setelagoas;receita;2022;1117.01
setelagoas;receita;2023;1298.57
setelagoas;receita;2024;1437.25
setelagoas;despesa;2014;645.33
setelagoas;despesa;2015;644.44
setelagoas;despesa;2016;621.17
setelagoas;despesa;2017;601.26
setelagoas;despesa;2018;656.65
setelagoas;despesa;2019;656.29
setelagoas;despesa;2020;779.64
setelagoas;despesa;2021;831.35
setelagoas;despesa;2022;997.26
setelagoas;despesa;2023;1223.57
setelagoas;despesa;2024;1414.74
setelagoas;pib;2014;8054
setelagoas;pib;2015;7681
setelagoas;pib;2016;7268
setelagoas;pib;2017;8265
setelagoas;pib;2018;8537
setelagoas;pib;2019;9549
setelagoas;pib;2020;9248
setelagoas;pib;2021;12656
setelagoas;pib;2022;14819
setelagoas;pib;2023;14904
setelagoas;pib;2024;15410.73
setelagoas;pibcapta;2014;3503.460
setelagoas;pibcapta;2015;3309.24
setelagoas;pibcapta;2016;3103.05
setelagoas;pibcapta;2017;3498.73
setelagoas;pibcapta;2018;3597.76
setelagoas;pibcapta;2019;3984.74
setelagoas;pibcapta;2020;3824.09
setelagoas;pibcapta;2021;518.79
setelagoas;pibcapta;2022;6516.79
setelagoas;pibcapta;2023;6405.80
setelagoas;pibcapta;2024;6476.97
setelagoas;receitacapta;2014;2546.21
setelagoas;receitacapta;2015;2541.81
setelagoas;receitacapta;2016;2335.14
setelagoas;receitacapta;2017;2211.77
setelagoas;receitacapta;2018;2182.94
setelagoas;receitacapta;2019;2327.04
setelagoas;receitacapta;2020;2509.09
setelagoas;receitacapta;2021;2893.71
setelagoas;receitacapta;2022;3061.96
setelagoas;receitacapta;2023;3288.65
setelagoas;receitacapta;2024;3402.1
itaborai;populacao;2014;227168
itaborai;populacao;2015;229007
itaborai;populacao;2016;230786
itaborai;populacao;2017;232394
itaborai;populacao;2018;238695
itaborai;populacao;2019;240592
itaborai;populacao;2020;242543
itaborai;populacao;2021;244416
itaborai;populacao;2022;224267
itaborai;populacao;2023;232154
itaborai;populacao;2024;240040
itaborai;receita;2014;706.85
itaborai;receita;2015;632.74
itaborai;receita;2016;511.87
itaborai;receita;2017;498.36
itaborai;receita;2018;562.74
itaborai;receita;2019;750.43
itaborai;receita;2020;731.18
itaborai;receita;2021;970.72
itaborai;receita;2022;1015.05
itaborai;receita;2023;956.76
itaborai;receita;2024;1067.81
itaborai;despesa;2014;790.44
itaborai;despesa;2015;822.34
itaborai;despesa;2016;558.56
itaborai;despesa;2017;497.03
itaborai;despesa;2018;559.66
itaborai;despesa;2019;597.79
itaborai;despesa;2020;654.78
itaborai;despesa;2021;702.96
itaborai;despesa;2022;956.79
itaborai;despesa;2023;1084.52
itaborai;despesa;2024;1208.68
itaborai;pib;2014;5053.07
itaborai;pib;2015;4312.98
itaborai;pib;2016;4350.44
itaborai;pib;2017;4186.71
itaborai;pib;2018;4486.98
itaborai;pib;2019;4933.38
itaborai;pib;2020;5422.09
itaborai;pib;2021;5640.68
itaborai;pib;2022;5640.94
itaborai;pib;2023;6278.39
itaborai;pib;2024;6529.52
itaborai;pibcapta;2014;2224.38
itaborai;pibcapta;2015;1883.34
itaborai;pibcapta;2016;1885.05
itaborai;pibcapta;2017;1801.56
itaborai;pibcapta;2018;1879.8
itaborai;pibcapta;2019;2050.52
itaborai;pibcapta;2020;2235.52
itaborai;pibcapta;2021;2307.82
itaborai;pibcapta;2022;2515.28
itaborai;pibcapta;2023;2704.41
itaborai;pibcapta;2024;2720.18
itaborai;receitacapta;2014;3111.57
itaborai;receitacapta;2015;2596.54
itaborai;receitacapta;2016;1883.38
itaborai;receitacapta;2017;1713.23
itaborai;receitacapta;2018;1829.51
itaborai;receitacapta;2019;2332.96
itaborai;receitacapta;2020;2161.68
itaborai;receitacapta;2021;2724.7
itaborai;receitacapta;2022;2821.28
itaborai;receitacapta;2023;2428.33
itaborai;receitacapta;2024;2505.39
